Location,Lat,Long
"2515 Western Ave.,Seattle",47.61412,-122.35014
"8201 10th Ave S., Seattle",47.52958,-122.32052
"410 2nd Ave. Extension So., Seattle",47.60121,-122.33114
"318 2nd Ave. S. Extension,Seattle",47.60055,-122.33056
"232 Warren Ave. North, Suite B, Seattle",47.62044,-122.35451
"2030 3rd Ave, Seattle",47.613201,-122.341629
"85 Pike St.#200,Seattle",47.60946,-122.34106
"1561 Alaskan Way S.,Seattle",47.5886,-122.33865
"Outdoor Meal Site at 6th and Columbia, Seattle",47.60557,-122.32942
"210 Dexter Avenue, Seattle",47.62052,-122.34248
"508 Broadway, Seattle",47.60681,-122.32083
"2709 3rd Ave., Seattle",47.61715,-122.34954
"919 King Street, Seattle",47.59822,-122.32015
"1814 Summit Ave.,Seattle",47.61838,-122.3251
"3204 SW Holly St., Seattle (Holly Park Comm. Center)",47.54302,-122.37411
"2801 SW Thistle Street, Seattle",47.52785,-122.36888
"409 Maynard Ave South, Seattle",47.59888,-122.3253
"3639 Martin Luther King Way, Seattle",47.57078,-122.29726
5710 22nd Ave. NWSeattle,47.67041,-122.3841
"8201 10th Ave South, Seattle",47.52958,-122.32052
"330 19th Ave, Seattle",47.60518,-122.30725
"611 12th Ave South, Suite 300, Seattle",47.59708,-122.31796
"31957 E. Commercial Street, Carnation",47.64887,-121.91267
"416 Second Ave Extension South, Seattle",47.60135,-122.33133
"5050 8th Ave. NE,Seattle",47.66649,-122.31897
"97 South Main St.,Seattle",47.59999,-122.3343
"1710 11th Ave., Seattle",47.61682,-122.31779
"2524 16th Ave. S, Seattle",47.58022,-122.31145
"1215 Thomas St., Seattle",47.62066,-122.33214
"Calvary Lutheran7002 23rd Ave NW, Seattle",47.67975,-122.38504
"St. John's Lutheran5515 Phinney Ave N., Seattle",47.668709,-122.354797
1828 Yale Avenue (on the corner of Denny and Stewart),47.61824,-122.33038
"Woodland Park Pres. Church 225 N. 70th, Seattle",47.679272,-122.355888
"5740 MLK Jr. Way South, Seattle",47.55012,-122.287109
"6721 51st Ave South, Seattle",47.54193,-122.27041
"2022 Boren Avenue, Seattle",47.61835,-122.33475
"Outdoor Meal Site at 6th and Columbia,",47.60557,-122.32942
"4516 15th Ave NE, Seattle",47.66185,-122.31166
111 NE 80th St.Seattle,47.68644,-122.32794
"803 Terry Ave., Seattle",47.60752,-122.32595
"100 N street SE, Auburn",47.30709,-122.21139
"1415 NE 43rd Street, Seattle (alley entrance)",47.65926,-122.312378
"1561 Alaskan Way S., Seattle",47.5886,-122.33865
"University Lutheran Church, N.E. 50th & 16th N.E., Seattle (Enter down the steps off 16th & 50th)",47.66489,-122.31081
"University MethodistN.E. 43rd & 15th N.E., Seattle (Enter via alley, southwest corner of the bldg)",47.659771,-122.311981
"University CongregationalN.E. 45th & 16th N.E., Seattle (Down the seps off 16th)",47.66126,-122.31088
"University ChristianN.E. 50th & 15th N.E., Seattle",47.6649,-122.31195