City,GEOID,GEO_ID
Seattle,53033000100,1400000US53033000100
Seattle,53033000200,1400000US53033000200
Seattle,53033000300,1400000US53033000300
Seattle,53033000401,1400000US53033000401
Seattle,53033000402,1400000US53033000402
Seattle,53033000500,1400000US53033000500
Seattle,53033000600,1400000US53033000600
Seattle,53033000700,1400000US53033000700
Seattle,53033000800,1400000US53033000800
Seattle,53033000900,1400000US53033000900
Seattle,53033001000,1400000US53033001000
Seattle,53033001100,1400000US53033001100
Seattle,53033001200,1400000US53033001200
Seattle,53033001300,1400000US53033001300
Seattle,53033001400,1400000US53033001400
Seattle,53033001500,1400000US53033001500
Seattle,53033001600,1400000US53033001600
Seattle,53033001701,1400000US53033001701
Seattle,53033001702,1400000US53033001702
Seattle,53033001800,1400000US53033001800
Seattle,53033001900,1400000US53033001900
Seattle,53033002000,1400000US53033002000
Seattle,53033002100,1400000US53033002100
Seattle,53033002200,1400000US53033002200
Seattle,53033002400,1400000US53033002400
Seattle,53033002500,1400000US53033002500
Seattle,53033002600,1400000US53033002600
Seattle,53033002700,1400000US53033002700
Seattle,53033002800,1400000US53033002800
Seattle,53033002900,1400000US53033002900
Seattle,53033003000,1400000US53033003000
Seattle,53033003100,1400000US53033003100
Seattle,53033003200,1400000US53033003200
Seattle,53033003300,1400000US53033003300
Seattle,53033003400,1400000US53033003400
Seattle,53033003500,1400000US53033003500
Seattle,53033003600,1400000US53033003600
Seattle,53033003800,1400000US53033003800
Seattle,53033003900,1400000US53033003900
Seattle,53033004000,1400000US53033004000
Seattle,53033004100,1400000US53033004100
Seattle,53033004200,1400000US53033004200
Seattle,53033004301,1400000US53033004301
Seattle,53033004302,1400000US53033004302
Seattle,53033004400,1400000US53033004400
Seattle,53033004500,1400000US53033004500
Seattle,53033004600,1400000US53033004600
Seattle,53033004700,1400000US53033004700
Seattle,53033004800,1400000US53033004800
Seattle,53033004900,1400000US53033004900
Seattle,53033005000,1400000US53033005000
Seattle,53033005100,1400000US53033005100
Seattle,53033005200,1400000US53033005200
Seattle,53033005301,1400000US53033005301
Seattle,53033005302,1400000US53033005302
Seattle,53033005400,1400000US53033005400
Seattle,53033005600,1400000US53033005600
Seattle,53033005700,1400000US53033005700
Seattle,53033005801,1400000US53033005801
Seattle,53033005802,1400000US53033005802
Seattle,53033005900,1400000US53033005900
Seattle,53033006000,1400000US53033006000
Seattle,53033006100,1400000US53033006100
Seattle,53033006200,1400000US53033006200
Seattle,53033006300,1400000US53033006300
Seattle,53033006400,1400000US53033006400
Seattle,53033006500,1400000US53033006500
Seattle,53033006600,1400000US53033006600
Seattle,53033006700,1400000US53033006700
Seattle,53033006800,1400000US53033006800
Seattle,53033006900,1400000US53033006900
Seattle,53033007000,1400000US53033007000
Seattle,53033007100,1400000US53033007100
Seattle,53033007200,1400000US53033007200
Seattle,53033007300,1400000US53033007300
Seattle,53033007401,1400000US53033007401
Seattle,53033007402,1400000US53033007402
Seattle,53033007500,1400000US53033007500
Seattle,53033007600,1400000US53033007600
Seattle,53033007700,1400000US53033007700
Seattle,53033007800,1400000US53033007800
Seattle,53033007900,1400000US53033007900
Seattle,53033008001,1400000US53033008001
Seattle,53033008002,1400000US53033008002
Seattle,53033008100,1400000US53033008100
Seattle,53033008200,1400000US53033008200
Seattle,53033008300,1400000US53033008300
Seattle,53033008400,1400000US53033008400
Seattle,53033008500,1400000US53033008500
Seattle,53033008600,1400000US53033008600
Seattle,53033008700,1400000US53033008700
Seattle,53033008800,1400000US53033008800
Seattle,53033008900,1400000US53033008900
Seattle,53033009000,1400000US53033009000
Seattle,53033009100,1400000US53033009100
Seattle,53033009200,1400000US53033009200
Seattle,53033009300,1400000US53033009300
Seattle,53033009400,1400000US53033009400
Seattle,53033009500,1400000US53033009500
Seattle,53033009600,1400000US53033009600
Seattle,53033009701,1400000US53033009701
Seattle,53033009702,1400000US53033009702
Seattle,53033009800,1400000US53033009800
Seattle,53033009900,1400000US53033009900
Seattle,53033010001,1400000US53033010001
Seattle,53033010002,1400000US53033010002
Seattle,53033010100,1400000US53033010100
Seattle,53033010200,1400000US53033010200
Seattle,53033010300,1400000US53033010300
Seattle,53033010401,1400000US53033010401
Seattle,53033010402,1400000US53033010402
Seattle,53033010500,1400000US53033010500
Seattle,53033010600,1400000US53033010600
Seattle,53033010701,1400000US53033010701
Seattle,53033010702,1400000US53033010702
Seattle,53033010800,1400000US53033010800
Seattle,53033010900,1400000US53033010900
Seattle,53033011001,1400000US53033011001
Seattle,53033011002,1400000US53033011002
Seattle,53033011101,1400000US53033011101
Seattle,53033011102,1400000US53033011102
Seattle,53033011200,1400000US53033011200
Seattle,53033011300,1400000US53033011300
Seattle,53033011401,1400000US53033011401
Seattle,53033011402,1400000US53033011402
Seattle,53033011500,1400000US53033011500
Seattle,53033011600,1400000US53033011600
Seattle,53033011700,1400000US53033011700
Seattle,53033011800,1400000US53033011800
Seattle,53033011900,1400000US53033011900
Seattle,53033012000,1400000US53033012000
Seattle,53033012100,1400000US53033012100
Renton,53033025301,1400000US53033025301
Renton,53033025302,1400000US53033025302
Renton,53033025400,1400000US53033025400
Renton,53033025500,1400000US53033025500
Renton,53033025601,1400000US53033025601
Renton,53033025602,1400000US53033025602
Renton,53033025701,1400000US53033025701
Renton,53033025702,1400000US53033025702
Renton,53033025803,1400000US53033025803
Renton,53033025804,1400000US53033025804
Renton,53033025805,1400000US53033025805
Renton,53033025806,1400000US53033025806
Renton,53033026001,1400000US53033026001
Renton,53033026002,1400000US53033026002
Renton,53033026100,1400000US53033026100
Renton,53033026200,1400000US53033026200
Renton,53033026200,1400000US53033026200
SW County,53033026300,1400000US53033026300
SW County,53033026400,1400000US53033026400
White Center,53033026500,1400000US53033026500
White Center,53033026600,1400000US53033026600
White Center,53033026801,1400000US53033026801
White Center,53033026802,1400000US53033026802
White Center,53033027000,1400000US53033027000
SW County,53033027100,1400000US53033027100
SW County,53033027300,1400000US53033027300
SW County,53033027400,1400000US53033027400
SW County,53033027500,1400000US53033027500
SW County,53033027600,1400000US53033027600
Vashon Island,53033027701,1400000US53033027701
Vashon Island,53033027702,1400000US53033027702
SW County,53033027800,1400000US53033027800
SW County,53033027900,1400000US53033027900
SW County,53033028000,1400000US53033028000
SW County,53033028300,1400000US53033028300
SW County,53033028403,1400000US53033028403
SW County,53033028500,1400000US53033028500
SW County,53033028600,1400000US53033028600
SW County,53033028700,1400000US53033028700
SW County,53033028802,1400000US53033028802
SW County,53033028901,1400000US53033028901
SW County,53033028902,1400000US53033028902
SW County,53033029001,1400000US53033029001
SW County,53033029003,1400000US53033029003
Kent,53033029004,1400000US53033029004
Kent,53033029101,1400000US53033029101
Kent,53033029102,1400000US53033029102
Kent,53033029203,1400000US53033029203
Kent,53033029204,1400000US53033029204
Kent,53033029205,1400000US53033029205
Kent,53033029206,1400000US53033029206
Renton,53033029303,1400000US53033029303
Renton,53033029305,1400000US53033029305
Kent,53033029306,1400000US53033029306
Renton,53033029307,1400000US53033029307
Kent,53033029403,1400000US53033029403
Kent,53033029407,1400000US53033029407
Kent,53033029408,1400000US53033029408
Kent,53033029502,1400000US53033029502
Kent,53033029503,1400000US53033029503
Kent,53033029504,1400000US53033029504
Kent,53033029601,1400000US53033029601
Auburn,53033029602,1400000US53033029602
Kent,53033029700,1400000US53033029700
Kent,53033029801,1400000US53033029801
Federal Way,53033029802,1400000US53033029802
Federal Way,53033029901,1400000US53033029901
Auburn,53033029902,1400000US53033029902
Federal Way,53033030003,1400000US53033030003
Federal Way,53033030004,1400000US53033030004
Federal Way,53033030005,1400000US53033030005
Federal Way,53033030006,1400000US53033030006
Federal Way,53033030100,1400000US53033030100
Federal Way,53033030201,1400000US53033030201
Federal Way,53033030202,1400000US53033030202
Federal Way,53033030304,1400000US53033030304
Federal Way,53033030305,1400000US53033030305
Federal Way,53033030306,1400000US53033030306
Federal Way,53033030308,1400000US53033030308
Federal Way,53033030310,1400000US53033030310
Federal Way,53033030311,1400000US53033030311
Federal Way,53033030312,1400000US53033030312
Federal Way,53033030313,1400000US53033030313
Federal Way,53033030314,1400000US53033030314
Federal Way,53033030401,1400000US53033030401
Federal Way,53033030403,1400000US53033030403
Federal Way,53033030404,1400000US53033030404
Auburn,53033030501,1400000US53033030501
Auburn,53033030503,1400000US53033030503
Auburn,53033030504,1400000US53033030504
Auburn,53033030600,1400000US53033030600
Auburn,53033030700,1400000US53033030700
Auburn,53033030801,1400000US53033030801
Auburn,53033030802,1400000US53033030802
Auburn,53033030901,1400000US53033030901
Auburn,53033030902,1400000US53033030902
Auburn,53033031000,1400000US53033031000
Auburn,53033031100,1400000US53033031100
Auburn,53033031205,1400000US53033031205
Auburn,53033031206,1400000US53033031206
SW County,53033026700,1400000US53033026700
SW County,53033027200,1400000US53033027200
SW County,53033028200,1400000US53033028200
SW County,53033028100,1400000US53033028100
SW County,53033028402,1400000US53033028402
SW County,53033028801,1400000US53033028801
Renton,53033029304,1400000US53033029304
Renton,53033031909,1400000US53033031909
Renton,53033031908,1400000US53033031908
Kent,53033029405,1400000US53033029405
Kent,53033029406,1400000US53033029406
Kent,53033031703,1400000US53033031703
Kent,53033031704,1400000US53033031704
Federal Way,53033030309,1400000US53033030309
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,